"DPS","MarketCap","SD","CEORemun","X1.R2","Indep","Board","EPS","gEPS","Lev"
62.08,38518.79,2.04,2719134,0.81965,0.7,10,7.95,-0.8286637931,0.6767326053
0,1435.55,2.04,12794000,0.979775,0.5,10,2.52,-0.2820512821,0.000101865
0,4930.38,2.44,23500000,0.825828,0.7,10,0.31,0.0333333333,0.2319557304
18.28,5077.58,1.77,37367227,0.945755,0.4166666667,12,5.91,-0.0765625,0.0135452307
0,15938.05,2.04,109795060,0.797274,0.4285714286,7,27.56,0.2636405319,0.0684811178
45.83,14949.67,2.22,2.8e+07,0.9111,0.5555555556,9,-2.45,-0.8663393344,0.1893953995
0,13464.61,1.71,15139000,0.968468,0.5714285714,7,0.23,-0.9391534392,0.0613069371
0,4307.53,2.05,18700000,0.973823,0.5,10,4.78,0.0888382688,0.0005223569
0,1862.72,2.03,14560000,0.846174,0.6875,16,42.53,0.2845061915,0.0375141294
0,4178.13,2.84,12306896,0.994222,0.5,12,1.56,0.3805309735,0.2736038409
16.45,9336.29,2.03,24800000,0.79377,0.6428571429,14,72.82,0.1511223522,0.1566439043
0,3540.07,2.13,1554963,0.802932,0.8333333333,12,1.57,-0.8958885942,0.2103288098
5.93,15204.57,2.29,5780000,0.997549,0.5384615385,13,77.16,0.116642547,0.3999699236
7.22,24453.42,2.31,4888392,0.992476,0.6153846154,13,55.16,0.0698215671,0.4192644849
13.65,7045.1,1.31,27600000,0.978898,0.5,10,14.83,-0.7461920246,0.0752386931
42.38,5012.3,2.44,86855000,0.598381,0.5,8,3.62,0.13125,0.1366089035
32.94,9808.36,1.99,53570004,0.874101,0.4545454545,11,13.23,-0.1746724891,0.1376911831
0,9596.6,2.36,53124501,0.993128,0.5714285714,14,1.78,1.3421052632,0.2840917187
0,10446,2.09,40000,0.688235,0.4545454545,11,13.9,0.1544850498,0.245436755
21.28,20504.76,1.74,48252000,0.638555,0.5,10,11.71,0.1152380952,0.0774405435
17.4,2352.37,2.22,31892000,0.998358,0.5,10,7.09,1.215625,0
21.38,20585.55,2.03,168693468,0.75139,0.7272727273,11,-37.29,-7.0339805825,0.0114981581
38.74,479030.74,1.45,62263000,0.971839,0.4615384615,13,119.41,0.0185090413,0.0004852121
118.34,24478.2,1.55,77244812,0.992558,0.4666666667,15,3.7,-0.2275574113,0.2212146949
45.24,44769.46,1.68,1507070000,0.987999,0.5,10,26.58,-0.0959183673,0.0070677113
15.67,2029.59,2.02,10417000,0.871824,0.5,12,1.57,0.2362204724,0.0011921646
7.59,2205.36,2.86,9400000,0.654238,0.5,14,6.12,-2.3539823009,0.1794959722
1.64,8796.37,3.31,5645000,0.7065,0.4444444444,9,3.01,-0.5404580153,0.2813063224
10.75,125276.46,1.19,135575057,0.861619,0.3076923077,13,31.58,-0.0324754902,0.0180098227
80.62,7959.46,2.23,13200000,0.979342,0.3,10,12.01,69.6470588235,0.2027604182
0,2187.99,1.32,16674000,0.983482,0.5,8,5.65,-0.4598470363,0.0126521396
20.9,51350.39,1.77,81690000,0.85926,0.5,8,10.28,0.5139911635,-0.0508087764
14.48,4150.59,1.64,1504129,0.975184,0.5,10,39.82,-0.2263454439,0.0001856969
